Character,Dialogue,Setting,Season,Episode,Act,ImdbRating,Opening
Reilly,"Dude, I can't hold your spitter. You're holding my spitter. Just put the spitters down.",ProduceStand,1,1,1,8.3,
Wayne,Tik-tok,ProduceStand,1,1,1,8.3,
Jonesy,Go time!,ProduceStand,1,1,1,8.3,
Reilly,Go time!,ProduceStand,1,1,1,8.3,
Daryl,Look at that fuckin' treasure trail,ProduceStand,1,1,1,8.3,
Wayne,"What's up with your fuckin' body hair, big shoots? You look like a 12 year old Dutch girl. Your aeshetician quaff that for you?",ProduceStand,1,1,1,8.3,
Daryl,You can kiss my ass-thetician. You guys do cross-fit?,ProduceStand,1,1,1,8.3,
Wayne,You can cross-fuck-off.,ProduceStand,1,1,1,8.3,
Daryl,"Cross fart. How many times you pulled your horn today, bud?",ProduceStand,1,1,1,8.3,
Jonesy,What?,ProduceStand,1,1,1,8.3,
Daryl,"Aw, she's bashful",ProduceStand,1,1,1,8.3,
Wayne,"Oh, come on, kitten, I won't tell anyone. Ballpark, six to eight. You're a fucking animal. ",ProduceStand,1,1,1,8.3,
Daryl,Play a little five on one. ,ProduceStand,1,1,1,8.3,
Wayne,"Hit the kitchen, mix a batch",ProduceStand,1,1,1,8.3,
Daryl,Feed the ducks,ProduceStand,1,1,1,8.3,
Wayne,Distribute some free literature,ProduceStand,1,1,1,8.3,
Reilly,Go time!,ProduceStand,1,1,1,8.3,
Jonesy,Fuckin' … she 'em!,ProduceStand,1,1,1,8.3,
Katy,Riley! Jonesy! Put your fuckin' shirts on! Gett outta here!,ProduceStand,1,1,1,8.3,
Reilly,This isn't over!,ProduceStand,1,1,1,8.3,
Jonesy,This isn't over!,ProduceStand,1,1,1,8.3,
Wayne,Jinx. You owe me a Coke,ProduceStand,1,1,1,8.3,
Reilly,Never buy you a Coke,ProduceStand,1,1,1,8.3,
Setting,(WAYNE STANDING IN FIELD ALONE),Field,1,1,1,8.3,
Wayne,It's a hard life pickin' stones and pullin' teats but sure as God's got sandals it beats fightin' dudes with treasure trails.,Field,1,1,1,8.3,
LetterkennyLogo,(THEME MUSIC PLAYS),,1,1,2,8.3,
Daryl,"Hi, Katy.",Kitchen,1,1,2,8.3,
Katy,We're out of yogurt.,Kitchen,1,1,2,8.3,
Darly,I brought some from home.,Kitchen,1,1,2,8.3,
Katy,So why didn't you stay there and eat it.,Kitchen,1,1,2,8.3,
Wayne,Mornin' Dary.,Kitchen,1,1,2,8.3,
Daryl,Mornin'.,Kitchen,1,1,2,8.3,
Wayne,Thank you.,Kitchen,1,1,2,8.3,
Katy,You're welcome,Kitchen,1,1,2,8.3,
Daryl,"So, you talked to Angie yet? It's been almost a month now.",Kitchen,1,1,2,8.3,
Daryl,Think you need to get back on the horse.,Kitchen,1,1,2,8.3,
Katy,She stepped out on you.,Kitchen,1,1,2,8.3,
Katy,Can't go back to that and get any respect.,Kitchen,1,1,2,8.3,
Katy,Not in Letterkenny.,Kitchen,1,1,2,8.3,
Daryl,"Wayne, Angie did you a lot of good.",Kitchen,1,1,2,8.3,
Daryl,Somewhere along the way you kinda got soft.,Kitchen,1,1,2,8.3,
Daryl,You're not even fighting anymore.,Kitchen,1,1,2,8.3,
Daryl,You know what You need?,Kitchen,1,1,2,8.3,
Katy,Sex. With a girl.,Kitchen,1,1,2,8.3,
Daryl,Not with just any girl.,Kitchen,1,1,2,8.3,
Daryl,A good Christian girl.,Kitchen,1,1,2,8.3,
Daryl,I think I can help you.,Kitchen,1,1,2,8.3,
Daryl,I've been going to the Burning Bush Youth Group every Sunday.,Kitchen,1,1,2,8.3,
Daryl,I think you should come with me.,Kitchen,1,1,2,8.3,
Katy,I think you should just eat your yogurt.,Kitchen,1,1,2,8.3,
Katy,There's millions of starving kids in the world.,Kitchen,1,1,2,8.3,
Daryl,Yeah? Name ten.,Kitchen,1,1,2,8.3,
Setting,(PORCH WITH WAYNE AND KATY),Porch,1,1,2,8.3,
Katy,(SIGHS) You need a distraction.,Porch,1,1,2,8.3,
Katy,Something fun.,Porch,1,1,2,8.3,
Katy,Look at this.,Porch,1,1,2,8.3,
Katy,It's called Tinder.,Porch,1,1,2,8.3,
Katy,"Look, see there's all these girls and if you don't like one, you just say nope and move onto the next.",Porch,1,1,2,8.3,
Katy,"But if you do like one, then you can see how close they are and I don't know, maybe meet up or whatever.",Porch,1,1,2,8.3,
Wayne,So if you like 'em you just type 'em out a message or what's the scoop?,Porch,1,1,2,8.3,
Katy,"Yeah, you just, you know, say something like Like, ""On a scale of one to America, how free are you right now?"" ",Porch,1,1,2,8.3,
Wayne,"Oh, Jesus! Look at these nut sacks.",Porch,1,1,2,8.3,
Katy,Why do you hate them so much? 'Cause hockey players would grab a monkey by the tit if they could.,Porch,1,1,2,8.3,
Action,(REILLY AND JONESY PULL UP IN JEEP),Porch,1,1,2,8.3,
Reilly,"Smokes are for jokes, bud! ",Porch,1,1,2,8.3,
Jonesy,"Put it out before it puts you out, bud! (CHUCKLES) ",Porch,1,1,2,8.3,
Reilly,"Trash the ash, pal! ",Porch,1,1,2,8.3,
Action,(KATY FLINGS CIGARETTE AT REILLY AND JONESY),Porch,1,1,2,8.3,
Reilly,Ouch! Put it out! Put it out! Put it out! Put it out! ,Porch,1,1,2,8.3,
Setting,"(PRODUCE STAND WITH WAYNE, DAN, KATY, AND DARYL)",ProduceStand,1,1,3,8.3,
Daryl,"Tell the fish hook story, Dan.",ProduceStand,1,1,3,8.3,
Dan,It's really more of a Wayne story.,ProduceStand,1,1,3,8.3,
Daryl,"Yeah, but he won't tell it.",ProduceStand,1,1,3,8.3,
Wayne,"Oh, you've heard it a baker's dozen times.",ProduceStand,1,1,3,8.3,
Katy,Tell the story or he won't shut up.,ProduceStand,1,1,3,8.3,
Dan,Is there anymore trail mix? ,ProduceStand,1,1,3,8.3,
Katy,It's in the house,ProduceStand,1,1,3,8.3,
Dan,"Yous makes the most delicious trail mix, Katy, and I got to say that's what I appreciates about you.",ProduceStand,1,1,3,8.3,
Katy,Is that what you appreciate about me? ,ProduceStand,1,1,3,8.3,
Wayne,"Pitter-patter, squirrely Dan.",ProduceStand,1,1,3,8.3,
Dan,"So, as the story goes, Wayne hucks an egg at a truck with a Confederate flag in the back windshield and the driver's fumin' pissed.",ProduceStand,1,1,3,8.3,
Dan,"So, we flee the scene goin' full tilt like a Peterbilt, right? Now, The Federales catch up to us and chase us through a few backyards before we scamper up into some trees and all Wayne's got on is a pair of cut-off jean shorts so he ain't exactly super jazzed about the situation, was you Wayne? ",ProduceStand,1,1,3,8.3,
Wayne,"Oh, I'm no DJ Jazzy Jeff.",ProduceStand,1,1,3,8.3,
Dan,"The Federale pulls out his Taser, and he points it up at Wayne and says some real Clint Eastwood-sounding shit.",ProduceStand,1,1,3,8.3,
Dan,"He says to Wayne, he says, ""If I'd known I was going to run into some uptown street toughs today, ""I'd have done up my top button.",ProduceStand,1,1,3,8.3,
Daryl, (CHUCKLES) That's from a John Wayne motion picture.,ProduceStand,1,1,3,8.3,
Katy,"No, Cool Hand Luke.",ProduceStand,1,1,3,8.3,
Wayne,"Pert near anything Kevin Costner, really.",ProduceStand,1,1,3,8.3,
Dan,"Either way, I's impressed and I'd let out an audible gasp so he hears me, spins around, aims the Taser up at me and lets fire, and if that thing doesn't latch onto my nipple ring, which I'm pretty sure amplified the electric current, he sent coursing through my entire body.",ProduceStand,1,1,3,8.3,
Dan,And they just walked over and yanked that thing out of my nipple like it was a goddamn fish hook.,ProduceStand,1,1,3,8.3,
Dan,"At least that's according to my cousin. Well, you know, my second cousin.",ProduceStand,1,1,3,8.3,
Katy,"Who, Garrett?",ProduceStand,1,1,3,8.3,
Wayne,"No, Jarrett",ProduceStand,1,1,3,8.3,
Katy,Huh,ProduceStand,1,1,3,8.3,
Dan,I cried. I'm not even ashamed to admit that. ,ProduceStand,1,1,3,8.3,
Daryl,(BURPS),ProduceStand,1,1,3,8.3,
Katy,That was well brought up. Too bad you weren't.,ProduceStand,1,1,3,8.3,
Wayne,I should say,ProduceStand,1,1,3,8.3,
Katy,"Thirsty Thursdays, boys. ",ProduceStand,1,1,3,8.3,
Katy,Might as well get balls deep in a bottle of Gus 'n Bru tonight,ProduceStand,1,1,3,8.3,
Action,(DARYL PICKS UP CLOVER),ProduceStand,1,1,3,8.3,
Daryl,It's a four leaf clover. Make a wish. ,ProduceStand,1,1,3,8.3,
Wayne,"Wish you weren't so fucking awkward, bud.",ProduceStand,1,1,3,8.3,
Daryl,(BURPS),ProduceStand,1,1,3,8.3,
Setting,(AT MODEAN'S),ModeansBar,1,1,4,8.3,
Katy,Is Angie working?,ModeansBar,1,1,4,8.3,
Daryl,"Better have a peeksie, Wayne",ModeansBar,1,1,4,8.3,
Gail,How are yous?,ModeansBar,1,1,4,8.3,
Wayne,Good. And you?,ModeansBar,1,1,4,8.3,
Gail,Not too bad.,ModeansBar,1,1,4,8.3,
Gail,Smells like someone's in their barn clothes.,ModeansBar,1,1,4,8.3,
Katy,It's Darry,ModeansBar,1,1,4,8.3,
Wayne,"Four shots of Gus 'n Bru, please and thank you.",ModeansBar,1,1,4,8.3,
Wayne,"One for you, too, Gailor.",ModeansBar,1,1,4,8.3,
Gail,"Thank you, Wayne, but I'm off the sauce",ModeansBar,1,1,4,8.3,
Gail,Taking eight vitamins a day now.,ModeansBar,1,1,4,8.3,
Daryl,What are you taking? ,ModeansBar,1,1,4,8.3,
Gail,"I'm taking multi-vitamin, fish oil, vitamin C, vitamin D, two vitamin B complexes, and two Cold-FX's",ModeansBar,1,1,4,8.3,
Wayne,"Yeah, 'cept how many darts are there",ModeansBar,1,1,4,8.3,
Gail,"20, 25 darts.",ModeansBar,1,1,4,8.3,
Wayne,"Oh, you got 'er down then? Last I seen you, you were on a pack, pack and a half of smokes",ModeansBar,1,1,4,8.3,
Gail,"Well, sometimes I'll have a pack and a half of smokes, but never more than two packs of smokes",ModeansBar,1,1,4,8.3,
Wayne,Good enough.,ModeansBar,1,1,4,8.3,
Action,(THE HICKS ALL DRINK A SHOT),ModeansBar,1,1,4,8.3,
Gail,"All right, won't be rude",ModeansBar,1,1,4,8.3,
Action,(GAIL DRINKS A SHOT),ModeansBar,1,1,4,8.3,
Wayne,I'd hang a piss,ModeansBar,1,1,4,8.3,
Dan,Oh fuck. I'm about to give birth to a pound of fudge.,ModeansBar,1,1,4,8.3,
Setting,(WAYNE IN THE MEN'S BATHROOM AT THE URINAL),ModeansUrinals,1,1,4,8.3,
Action,(MCMURRAY WALKS UP TO OTHER URINAL),ModeansUrinals,1,1,4,8.3,
McMurray,Wayne,ModeansUrinals,1,1,4,8.3,
Wayne,"McMurray, how're ya now?",ModeansUrinals,1,1,4,8.3,
McMurray,"Good, and you?",ModeansUrinals,1,1,4,8.3,
Wayne,Not so bad.,ModeansUrinals,1,1,4,8.3,
McMurray,"Seen Angie, with her new dude? What a fucking dandy.",ModeansUrinals,1,1,4,8.3,
McMurray,"Yeah, he's got fugazi diamonds in both ears and leprechaun buckles on his shoes.",ModeansUrinals,1,1,4,8.3,
McMurray,Running a fuckin' Dippity-Doo convention upstairs for a salad.,ModeansUrinals,1,1,4,8.3,
McMurray,Driving a '94 Jeep YJ with a wave decal on the side.,ModeansUrinals,1,1,4,8.3,
McMurray,Enough cologne to offend a Bangkok lady boy.,ModeansUrinals,1,1,4,8.3,
Wayne,Good enough.,ModeansUrinals,1,1,4,8.3,
McMurray,Do you want to hear the best part? You really want to hear the best part?,ModeansUrinals,1,1,4,8.3,
Wayne,Ok.,ModeansUrinals,1,1,4,8.3,
McMurray,He went full Bieber eyes.,ModeansUrinals,1,1,4,8.3,
Wayne,What?,ModeansUrinals,1,1,4,8.3,
McMurray,Bieber eyes.,ModeansUrinals,1,1,4,8.3,
McMurray,Wayne,ModeansUrinals,1,1,4,8.3,
McMurray,"Wayne. Wayne, look.",ModeansUrinals,1,1,4,8.3,
Wayne,"It's inappropriate, McMurray",ModeansUrinals,1,1,4,8.3,
McMurray,"Wayne, just look for fuck's sake. Just fuckin' look, Wayne.",ModeansUrinals,1,1,4,8.3,
Action,(WAYNE LOOKS AT MCMURRAY),ModeansUrinals,1,1,4,8.3,
McMurray,Full Bieber eyes. ,ModeansUrinals,1,1,4,8.3,
Wayne,What's that?,ModeansUrinals,1,1,4,8.3,
McMurray,Bieber. The pop star.,ModeansUrinals,1,1,4,8.3,
Wayne,I'm not familiar with his work,ModeansUrinals,1,1,4,8.3,
Action,"(GUY WALKS INTO BATHROOM, TAKES URINAL BETWEEN WAYNE AND MCMURRAY)",ModeansUrinals,1,1,4,8.3,
Alexander,"This must be where the dicks hang out, eh?",ModeansUrinals,1,1,4,8.3,
McMurray,"Our dicks hang out. Yours is like a mushroom in a corn field. Mind your fuckin' business, Alexander.",ModeansUrinals,1,1,4,8.3,
Action,(ALEXANDER LEANS OVER TOWARDS WAYNE WHILE PEEING),ModeansUrinals,1,1,4,8.3,
Alexander,"Seen Angie, with her new dude? What a fucking dandy.",ModeansUrinals,1,1,4,8.3,
Wayne,"Eyes on your own work there, super chief.",ModeansUrinals,1,1,4,8.3,
Action,(ALEXANDER LAUGHS),ModeansUrinals,1,1,4,8.3,
Action,(CAMERA ZOOMS OUT; ALEXANDER STANDING AT URINAL WITH HIS ASS HANGING OUT),ModeansUrinals,1,1,4,8.3,
SETTING,(BACK AT THE BAR),ModeansBar,1,1,4,8.3,
Dan,"Thank Christ, Wayne, I'm pushing clobs here. Get outta the way, I'm growing a tail!",ModeansBar,1,1,4,8.3,
Daryl,"Wayne, I would like to cordially invite you to the Burning Bush Youth Group this Sunday for an evening of song and praise.",ModeansBar,1,1,4,8.3,
Wayne,Hard no.,ModeansBar,1,1,4,8.3,
Daryl,"My sweetie, Margaret, is a first class gal. She's got some friends she can introduce you to.",ModeansBar,1,1,4,8.3,
Gail,Margaret? Sounds like a biddy old blue hair'd.,ModeansBar,1,1,4,8.3,
Daryl,She's not. She's a very focused young woman on the path to eternity with Christ,ModeansBar,1,1,4,8.3,
Katy,And which part of that appeals to you?,ModeansBar,1,1,4,8.3,
Daryl,I like singing the songs.,ModeansBar,1,1,4,8.3,
Katy,Sort yourself out. ,ModeansBar,1,1,4,8.3,
Gail,"You're a pervert, Daryl",ModeansBar,1,1,4,8.3,
Daryl,"Jesus, your breath could stop a Mack truck right now.",ModeansBar,1,1,4,8.3,
Wayne,"All right, cool it.",ModeansBar,1,1,4,8.3,
Gail,"What say we go for a quick ice run, Wayne?",ModeansBar,1,1,4,8.3,
Gail,I'm pushing up on you for years now.,ModeansBar,1,1,4,8.3,
Gail,Let's say you give ole Gailor one for the scrapbook.,ModeansBar,1,1,4,8.3,
Action,(WAYNE HANDS GAIL A CHICLET),ModeansBar,1,1,4,8.3,
Wayne,I'll do the youth group,ModeansBar,1,1,4,8.3,
Daryl,All right.,ModeansBar,1,1,4,8.3,
Dan,"Gail, looks like the john's allergic to fudge. Bring the plunger, we may have to break this one up.",ModeansBar,1,1,4,8.3,
Gail,Told you to flush as you go. Fuck!,ModeansBar,1,1,4,8.3,
Setting,(THE SKIDS IN FRONT OF THE CHURCH DANCING TO ELECTRONIC MUSIC),Church,1,1,5,8.3,
Setting,(INSIDE CHURCH WITH A BAND PREPARING ON THE STAGE),Church,1,1,5,8.3,
Action,(MARGARET HUGS DARYL),Church,1,1,5,8.3,
Margaret,"Hi Daryl, Christ be with you.",Church,1,1,5,8.3,
Daryl,Margaret.,Church,1,1,5,8.3,
Margaret,And you must be Wayne?,Church,1,1,5,8.3,
Wayne,Mmm hmm.,Church,1,1,5,8.3,
Action,(MARGARET HUGS WAYNE),Church,1,1,5,8.3,
Margaret,"Christ be with you, Wayne.",Church,1,1,5,8.3,
Wayne,Hello.,Church,1,1,5,8.3,
Margaret,How are yous?,Church,1,1,5,8.3,
Wayne,"Oh, not so bad.",Church,1,1,5,8.3,
Daryl,Good 'n you?,Church,1,1,5,8.3,
Margaret,Perfect. You made a good choice coming here tonight?,Church,1,1,5,8.3,
Wayne,Yeah? Why is that?,Church,1,1,5,8.3,
Action,(MARGARET HOLDS UP LIGHTER AND LIGHTS IT),Church,1,1,5,8.3,
Margaret,Hold your finger here for as long as you can.,Church,1,1,5,8.3,
Wayne,What fer?,Church,1,1,5,8.3,
Action,(WAYNE HOLDS FINGER UP TO LIGHTER BEFORE PULLING IT AWAY),Church,1,1,5,8.3,
Margaret,"All right, now imagine your soul engulfed in that for all of eternity",Church,1,1,5,8.3,
Wayne,K.,Church,1,1,5,8.3,
Action,(MARGARET SUCKS ON WAYNE'S FINGERS WHILE MAKING EYE CONTACT),Church,1,1,5,8.3,
Margaret,God is good.,Church,1,1,5,8.3,
Daryl,That's how they get you.,Church,1,1,5,8.3,
Daryl,"Wayne's been going through a bit of a rough break up, and I thought a night at the burning bush might help him out.",Church,1,1,5,8.3,
Daryl,"Plus, it's better than spending all his time on Tinder.",Church,1,1,5,8.3,
Margaret,Tinder? Did you know that it was originally called Grindr and it was made for gay men to sodomize each other?,Church,1,1,5,8.3,
Wayne,No.,Church,1,1,5,8.3,
Margaret,Yeah.,Church,1,1,5,8.3,
Margaret,Good way to get a finger in your bum. Or a tongue in your bum. ,Church,1,1,5,8.3,
Margaret,Do you know what Dick Dingers are?,Church,1,1,5,8.3,
Wayne,No.,Church,1,1,5,8.3,
Margaret,It's when they snort drugs off of each other's erect penises.,Church,1,1,5,8.3,
Daryl,That have just been in bums.,Church,1,1,5,8.3,
Action,(GLEN WALKS ONTO STAGE),Church,1,1,5,8.3,
Glen,"Oh, my gourd! Look at this turnout!",Church,1,1,5,8.3,
Glen,"Hi, everybody",Church,1,1,5,8.3,
Action,(CHEERING AND APPLAUDING FROM AUDIENCE),Church,1,1,5,8.3,
Glen,Quick question for y'all? ,Church,1,1,5,8.3,
Glen,How good is God?,Church,1,1,5,8.3,
Action,(CHEERING AND APPLAUDING FROM AUDIENCE),Church,1,1,5,8.3,
Glen,I know! I know! I love him! He's the best! There's almost no one I like more.,Church,1,1,5,8.3,
Glen,"Second question, has anyone seen … where is my beautiful girlfriend, Virginia?",Church,1,1,5,8.3,
Glen,"Ginny, where are you?",Church,1,1,5,8.3,
Glen,"There she is, Ginny, come on up here, come up, Ginny.",Church,1,1,5,8.3,
Glen,"Oh, ugh, Ginny. Ginny, Ginny, Ginny. Hmm.",Church,1,1,5,8.3,
Glen,I still remember like it was yesterday the day that the Lord gave you to me.,Church,1,1,5,8.3,
Glen,"And he said, ""Glen this is your blank canvas, it is pale. It is colorless, it is almost cardboard-like.""",Church,1,1,5,8.3,
Glen,"I want you to give it life, to give it color.",Church,1,1,5,8.3,
Glen,"And so I said to the Lord, I will give it everything, everything.",Church,1,1,5,8.3,
Glen,Except for one thing.,Church,1,1,5,8.3,
Glen,"What was that question? Uh, hmm? Vaginal intercourse!",Church,1,1,5,8.3,
Action,(AUDIENCE CHEERING),Church,1,1,5,8.3,
Glen,"Guess what, boys and girls? You're in for somethin' special, 'cause we got The Salty Treats.",Church,1,1,5,8.3,
Action,(BAND STARTS PLAYING),Church,1,1,5,8.3,
Wayne,What the actual fuck is this place?,Church,1,1,5,8.3,
Daryl,Why can't you just enjoy yourself?,Church,1,1,5,8.3,
Wayne,"It's 'cause I get onto this Tinder thing, and now they tell me it's for finding dudes.",Church,1,1,5,8.3,
Wayne,"But that's some bullshit, right?",Church,1,1,5,8.3,
Daryl,I don't know.,Church,1,1,5,8.3,
Daryl,You want some strawberry lemonade?,Church,1,1,5,8.3,
Wayne,"I haven't seen this sort of fucking bedlam since we fired Roman Candles at coyotes that night and caught one right in the butt hole, fuck.",Church,1,1,5,8.3,
Wayne,"Ran up the back porch, dropped seven shades of shit in Dad's work boots.",Church,1,1,5,8.3,
Daryl,Could have been a wolf. There's wolf's in the back bush.,Church,1,1,5,8.3,
Wayne,There's for sure mooses.,Church,1,1,5,8.3,
Daryl,Have a dart.,Church,1,1,5,8.3,
Wayne,"Yeah, I'd have a dart.",Church,1,1,5,8.3,
Setting,(OUTSIDE THE CHURCH),ChurchOutside,1,1,5,8.3,
Wayne,"Ah, fucking Grindr",ChurchOutside,1,1,5,8.3,
Stewart,Grinder?,ChurchOutside,1,1,5,8.3,
Devon,(GROWLING) Grindr!,ChurchOutside,1,1,5,8.3,
Stewart,"What? Pray tell, what are you doing on Grindr, Wayne?",ChurchOutside,1,1,5,8.3,
Wayne,"What are you skids doing out of your parents' basement, Stewart? ",ChurchOutside,1,1,5,8.3,
Stewart,The gang and I have been doing hip-hop karaoke for the better part of 48 hours. Out on the decks.,ChurchOutside,1,1,5,8.3,
Devon,Ones and twos.,ChurchOutside,1,1,5,8.3,
Stewart,The entire 48.,ChurchOutside,1,1,5,8.3,
Devon,Subsequently spittin' hot fire!,ChurchOutside,1,1,5,8.3,
Stewart,"Playing Mega-Man and Final Fantasy on original NES. Pokemon Gold, on GameBoy Color.",ChurchOutside,1,1,5,8.3,
Stewart,"Gotta catch all. Bulbasaur, Ivysaur, Venusaur, Charmeleon, Charizard, Charmander.",ChurchOutside,1,1,5,8.3,
Devon,Fuckin' Charmander.,ChurchOutside,1,1,5,8.3,
Wayne,"Time to take about 20% off on the meth intake, boys Lion King was far ahead of its time.",ChurchOutside,1,1,5,8.3,
Stewart,Ever play Dr. Mario on Super NES? ,ChurchOutside,1,1,5,8.3,
Devon,Game is full of subliminal messages. Hunter S. Thompson would have a field day.,ChurchOutside,1,1,5,8.3,
Stewart,Hunter S.? Charles Bukowski,ChurchOutside,1,1,5,8.3,
Devon,"Oh, yes, Charles Bukowski. That's a better one, Stewart",ChurchOutside,1,1,5,8.3,
Stewart,Ever play Aladdin on Sega G?,ChurchOutside,1,1,5,8.3,
Devon,Coffee. Tea. Sega!,ChurchOutside,1,1,5,8.3,
Stewart,Lion King was far ahead of its time. Makes you think far beyond your years. Disney games prevail!,ChurchOutside,1,1,5,8.3,
Devon,You got any weed?,ChurchOutside,1,1,5,8.3,
Stewart,"I always regret coming to the surface with you, day-walking hicks. The minutiae of your world. My basement resembles an island Xanadu, in comparison.",ChurchOutside,1,1,5,8.3,
Wayne,K. ,ChurchOutside,1,1,5,8.3,
Stewart,"Ah, but some quick math tells me this time, however, you've been so agonized by a woman you're now seeking the company of men.",ChurchOutside,1,1,5,8.3,
Stewart,"Oh, OK, we've all thought about it. Well, good on you for doubling down. Although I didn't peg you for a pipe fitter, Wayne.",ChurchOutside,1,1,5,8.3,
Devon,(GROWLING) Pegged!,ChurchOutside,1,1,5,8.3,
Stewart,"Five years with Andie, we figured you were a concrete clam slammer.",ChurchOutside,1,1,5,8.3,
Devon,Why drink from the furry cup when the garden hose is right there? ,ChurchOutside,1,1,5,8.3,
Stewart,"Who knew he liked the chutney ferret, eh fellas?",ChurchOutside,1,1,5,8.3,
Action,(ALL THE SKIDS LAUGH),ChurchOutside,1,1,5,8.3,
Wayne,Fuckin' what?,ChurchOutside,1,1,5,8.3,
Stewart,Knob jockey.,ChurchOutside,1,1,5,8.3,
Devon,Back door bandit.,ChurchOutside,1,1,5,8.3,
Roald,"I'm gay, but donut puncher!",ChurchOutside,1,1,5,8.3,
Wayne,Just gimme my phone.,ChurchOutside,1,1,5,8.3,
Stewart,"Oh, yeah, sure thing. Oklahomo.",ChurchOutside,1,1,5,8.3,
Devon,Rear Admiral.,ChurchOutside,1,1,5,8.3,
Stewart,Uphill gardener. ,ChurchOutside,1,1,5,8.3,
Devon,Bum bumper.,ChurchOutside,1,1,5,8.3,
Roald,"This is awkward for me, you guys.",ChurchOutside,1,1,5,8.3,
Devon,"Hey, it's okay. We know, and we support you!",ChurchOutside,1,1,5,8.3,
Roald,All right! Donald Trump of rump!,ChurchOutside,1,1,5,8.3,
Action,(ALL THE SKIDS LAUGH),ChurchOutside,1,1,5,8.3,
Wayne,Phone.,ChurchOutside,1,1,5,8.3,
Stewart,"OK, but only because you have this weird … menergy",ChurchOutside,1,1,5,8.3,
Devon,Menergy!,ChurchOutside,1,1,5,8.3,
Stewart,About you.,ChurchOutside,1,1,5,8.3,
Roald,That's a great name for a spa.,ChurchOutside,1,1,5,8.3,
Setting,(BACK INSIDE THE CHURCH),Church,1,1,5,8.3,
Action,(GLEN PLAYING DIDGERIDOO),Church,1,1,5,8.3,
Action,(AUDIENCE CLAPPING),Church,1,1,5,8.3,
Glen,"Oh, stop it! You know I love ripping didge!",Church,1,1,5,8.3,
Daryl,If you don't change your attitude you're gonna lose out on all the girls.,Church,1,1,5,8.3,
Wayne,Like the 12-year-olds or the 13-year-olds? ,Church,1,1,5,8.3,
Daryl,"Well, have you noticed all the well-groomed dudes here?",Church,1,1,5,8.3,
Margaret,"You missed the best part. Glen just did his didgeridoo solo. Well, that's pretty much it.",Church,1,1,5,8.3,
Margaret,You guys wanna get some milk shakes?,Church,1,1,5,8.3,
Daryl,I think Modeans is open.,Church,1,1,5,8.3,
Wayne,Boy howdy!,Church,1,1,5,8.3,
Glen,"Well, well, well, Daryl, girl, Wayne.",Church,1,1,5,8.3,
Glen,"Bit surprised to see you here, I'm being honest. Didn't realize you were big fan of the didge.",Church,1,1,5,8.3,
Glen,"Aw, more of a didgere-don't?",Church,1,1,5,8.3,
